row_id,primary_macro,primary_task,dependency_tasks,subcontract_boundary
R-005,MS-8,Task 6.1,,
R-006,MS-8,Task 6.1,,
R-007,MS-8,Task 6.1,,
R-008,MS-8,Task 6.1,,
R-009,MS-8,Task 6.1,,
RD-006,MS-8,Task 6.1,,
C-001,MS-9,Task 6.2,,
C-002,MS-9,Task 6.2,,
C-003,MS-9,Task 6.2,Task 1.2,Gateway control endpoint composition dependency
C-004,MS-9,Task 6.2,Task 1.2,SMPP client service role composition dependency
C-005,MS-9,Task 6.2,Task 1.2,Listener policy composition dependency
C-006,MS-9,Task 6.2,,
C-007,MS-9,Task 6.2,Task 1.2,AMQP dependency configuration used by gateway
C-008,MS-9,Task 6.2,,
C-009,MS-9,Task 6.2,Task 1.2,HTTP admission configuration used by gateway
C-010,MS-9,Task 6.2,,
C-011,MS-9,Task 6.2,,
C-012,MS-9,Task 6.2,,
C-013,MS-9,Task 6.2,,
C-014,MS-9,Task 6.2,,
C-015,MS-9,Task 6.2,,
C-016,MS-9,Task 6.2,,
D-001,MS-9,Task 6.2,Task 1.2,Unified gateway startup and shutdown order
D-002,MS-9,Task 6.2,,
D-003,MS-9,Task 6.2,,
D-004,MS-9,Task 6.2,,
D-005,MS-9,Task 6.2,,
D-006,MS-9,Task 6.2,Task 1.2,Gateway graceful drain and signal lifecycle
D-007,MS-9,Task 6.2,,
D-008,MS-9,Task 6.2,,
D-009,MS-9,Task 6.2,,
H-013,MS-9,Task 6.3,,
O-001,MS-9,Task 6.3,,
O-002,MS-9,Task 6.3,,
O-003,MS-9,Task 6.3,Task 1.5,Connector reconnect and failover state supplies metrics
O-004,MS-9,Task 6.3,,
O-005,MS-9,Task 6.3,,
O-006,MS-9,Task 6.3,,
O-007,MS-9,Task 6.3,,
O-008,MS-9,Task 6.3,,
